artist_name,track_name,album_name,release_date,explicit,popularity,track_id,duration_ms,album_artwork_url,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,is_album_track,is_feature,release_year,duration_min
ScHoolboy Q,Black THougHts (feat. Kendrick Lamar),Blank Face LP,2016-07-08,True,33,7M9m87NlRxY5YJYgcWrVhR,222320,https://i.scdn.co/image/ab67616d00001e0225475181eb4622ed295f9485,0.726,0.813,0.323,153.998,-6.676,0.344,0.531,2.6e-05,0.135,False,True,2016,3.7053333333333334
Mistah F.A.B.,Survive (feat. Kendrick Lamar),"Son of a Pimp, Pt. 2",2016-05-27,True,18,54nnZSkyVEb5Fabr7105nE,230452,https://i.scdn.co/image/976a2fcc82414ad04f2a72800d34aca6c4fad378,0.597,0.787,0.546,123.814,-4.805,0.318,0.1,0.0,0.127,False,True,2016,3.840866666666667
BJ The Chicago Kid,The New Cupid (feat. Kendrick Lamar),In My Mind,2016-02-19,True,0,45ZtBhpcxjFQG9mX5BwB4l,321080,https://i.scdn.co/image/ab67616d00001e022c3cf67c627fcd83f28cc75d,0.565,0.808,0.563,127.377,-3.394,0.211,0.114,0.0,0.366,False,True,2016,5.351333333333334
Funkadelic,Ain't That Funkin' Kinda Hard on You? (feat. Kendrick Lamar & Ice Cube) - We Ain't Neva Gonna Stop Remix,Ain't That Funkin' Kinda Hard on You? (We Ain't Neva Gonna Stop Remix) [feat. Kendrick Lamar & Ice Cube],2016-03-09,True,43,6SgQIoLn8kpu8J4wfwGWy8,309723,https://i.scdn.co/image/ab67616d00001e0221f49c56c8ff95cb21783c27,0.635,0.874,0.632,89.895,-4.693,0.176,0.156,0.0,0.245,False,True,2016,5.16205
Frank Ocean,Skyline To (feat. Kendrick Lamar),Blonde,2016-08-20,True,67,4xR3MAscflQ262kMeiKshQ,184600,https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526,0.43,0.296,0.386,129.048,-13.645,0.0583,0.882,6.21e-06,0.104,False,True,2016,3.0766666666666667
Kanye West,No More Parties In LA (feat. Kendrick Lamar),The Life Of Pablo,2016-06-10,True,70,0zLClc0emc6qUeV1p5nc99,374413,https://i.scdn.co/image/ab67616d00001e022a7db835b912dc5014bd37f4,0.508,0.921,0.681,93.058,-1.644,0.303,0.246,0.0,0.221,False,True,2016,6.240216666666667
Dr. Dre,Deep Water (feat. Kendrick Lamar),Compton,2015-08-21,True,42,7LUOpegdxmYkaHjJXdHuZ3,311360,https://i.scdn.co/image/ab67616d00001e022fc5548485c214ab53477a96,0.705,0.786,0.473,101.995,-5.417,0.355,0.0306,3.27e-05,0.906,False,True,2015,5.189333333333333
Dr. Dre,Darkside/Gone (feat. Kendrick Lamar),Compton,2015-08-21,True,41,5ZEdSY99Mj5U4MIF97EKER,233906,https://i.scdn.co/image/ab67616d00001e022fc5548485c214ab53477a96,0.667,0.782,0.59,80.487,-4.404,0.31,0.0125,0.0,0.0997,False,True,2015,3.898433333333333
Dr. Dre,Genocide (feat. Kendrick Lamar),Compton,2015-08-21,True,39,7GW98M7bhqIqLGpxxStZWP,266506,https://i.scdn.co/image/ab67616d00001e022fc5548485c214ab53477a96,0.585,0.758,0.386,86.629,-3.501,0.186,0.000195,0.0,0.088,False,True,2015,4.441766666666667
King Esko,Murda (feat. Kendrick Lamar),King Esko,2015-09-01,True,0,1HFGtQBnUfFWMtRIuj5uAC,228310,https://i.scdn.co/image/ab67616d00001e02675bd32502dfb1352fe30754,0.554,0.961,0.405,99.033,-2.666,0.203,0.274,0.0,0.275,False,True,2015,3.8051666666666666
The Game,On Me - feat. Kendrick Lamar,The Documentary 2,2015-10-09,True,0,6mUErYj38jotVlhzgGY6vl,285640,https://i.scdn.co/image/ab67616d00001e0248ea20e5a4972e719086cbb0,0.483,0.662,0.664,85.798,-9.18,0.541,0.136,0.0,0.796,False,True,2015,4.760666666666666
Glasses Malone,Thuggin' (feat. Kendrick Lamar),GlassHouse 2: Life Ain't Nuthin But...,2015-09-05,True,15,1s4Peo4fUtOjDwiNhO2Epo,300066,https://i.scdn.co/image/ab67616d00001e0206cf876722aaf0a4daef46f1,0.568,0.667,0.441,113.364,-8.935,0.363,0.173,0.0,0.244,False,True,2015,5.0011
Ty Dolla $ign,"LA (feat. Kendrick Lamar, Brandy & James Fauntleroy)",Free TC,2015-11-13,True,0,2HyjslXPfwBapec3F6FppD,307360,https://i.scdn.co/image/ab67616d00001e026935680dc9ec8cd4b7ca42dc,0.354,0.5,0.321,75.04,-7.159,0.137,0.315,0.0,0.602,False,True,2015,5.1226666666666665
Jay Rock,Easy Bake (feat. Kendrick Lamar & SZA),90059,2015-09-11,True,38,2iXm6lM5KNUHOGP5OQSeyA,291812,https://i.scdn.co/image/ab67616d00001e02793a0d50c1af74449ddfba7a,0.566,0.586,0.619,174.262,-6.741,0.827,0.357,0.0,0.425,False,True,2015,4.863533333333334
Jay Rock,Vice City (feat. Black Hippy) (feat. Kendrick Lamar),90059,2015-09-11,True,50,2SIdGJTWirTxRNEyCp9ocI,283751,https://i.scdn.co/image/ab67616d00001e02793a0d50c1af74449ddfba7a,0.844,0.553,0.511,114.939,-7.284,0.356,0.156,1.32e-06,0.0816,False,True,2015,4.729183333333333
Jonathan Emile,Heaven Help Dem (feat. Kendrick Lamar),The Lover / Fighter Document LP,2015-10-09,False,33,5dnh5AR01W0n8r3gLJAPPP,301363,https://i.scdn.co/image/ab67616d00001e026e67f45fc9315a9b505e59fd,0.323,0.763,0.185,175.462,-5.715,0.172,0.0775,0.0,0.243,False,True,2015,5.022716666666667
Jidenna,Classic Man (feat. Kendrick Lamar) - Remix,Classic Man (feat. Kendrick Lamar) [Remix],2015-06-22,True,45,530J9GupahE2O4a1iVkQxB,235046,https://i.scdn.co/image/ab67616d00001e0213b24a597a9743cc9761fee8,0.851,0.657,0.644,94.036,-5.161,0.0559,0.119,0.0,0.0743,False,True,2015,3.9174333333333333
Bilal,Money Over Love (feat. Kendrick Lamar),In Another Life,2015-06-30,False,0,4l295fn8GUozWoRPDADuxc,164786,https://i.scdn.co/image/ab67616d00001e0277f6182218ed1623d7c9129a,0.424,0.705,0.654,127.315,-5.889,0.185,0.28,2.84e-06,0.141,False,True,2015,2.7464333333333335
Taylor Swift,Bad Blood (feat. Kendrick Lamar),Bad Blood,2015-05-17,False,64,6xsEAm6w9oMQYYg3jkEkMT,200106,https://i.scdn.co/image/ab67616d00001e027941dc6a3a023016acbe3d06,0.654,0.655,0.221,170.16,-7.388,0.106,0.0294,0.0,0.139,False,True,2015,3.3351
Snoop Dogg,I'm Ya Dogg (feat. Kendrick Lamar & Rick Ross),BUSH,2015-05-06,True,33,16utyJfWZGkTWYDobMzND7,278146,https://i.scdn.co/image/ab67616d00001e0208c3397fbd22e078f2a2212e,0.479,0.609,0.513,107.699,-8.678,0.236,0.127,0.0,0.0815,False,True,2015,4.635766666666667
Flying Lotus,Never Catch Me (feat. Kendrick Lamar),You're Dead!,2014-10-06,False,0,6CTG85NJI1Wm60pxTSRNwL,234486,https://i.scdn.co/image/ab67616d00001e02dfa6ba57d446244054f068f4,0.526,0.936,0.283,81.305,-4.576,0.263,0.316,0.000384,0.261,False,True,2014,3.9081
Chris Brown,Autumn Leaves (feat. Kendrick Lamar),X (Expanded Edition),2014-09-16,True,53,7EJ1CjaeHobTNQCJOrFmpZ,268800,https://i.scdn.co/image/ab67616d00001e02d7a62d8635f92472d57d5f8d,0.624,0.6,0.436,73.059,-7.935,0.289,0.326,0.0,0.138,False,True,2014,4.48
Freeway,Fasho (feat. Kendrick Lamar),"Month of Madness, Vol. 7",2014-11-18,True,2,2hMN5P2tTFm3hYfa6bJSN3,262080,https://i.scdn.co/image/ab67616d00001e02ef6b8c136d07daf8f0e5cb9c,0.665,0.638,0.481,89.026,-11.598,0.423,0.073,0.0,0.231,False,True,2014,4.368
Jay Rock,Pay for It (feat. Kendrick Lamar & Chantal),Pay for It (feat. Kendrick Lamar & Chantal),2014-10-27,True,36,3uya2Ph2zB84JMR28vqWK0,242733,https://i.scdn.co/image/ab67616d00001e0239fd06ac9ac6756fb1c8340b,0.371,0.743,0.331,189.766,-8.13,0.354,0.394,5.41e-06,0.123,False,True,2014,4.04555
Mayer Hawthorne,Crime (feat. Kendrick Lamar),Where Does This Door Go (Deluxe Edition),2013-01-01,True,24,34xSlAT7cOUZj5B6bdXgXQ,280400,https://i.scdn.co/image/ab67616d00001e023f8bb8f846f3eff23924768d,0.572,0.771,0.485,94.988,-7.353,0.0499,0.0455,6.31e-05,0.0416,False,True,2013,4.673333333333333
Jasmine V,That’s Me Right There (feat. Kendrick Lamar),That's Me Right There,2014-08-05,False,40,4jMVNbIJ6l6XScHsoLMQX6,208502,https://i.scdn.co/image/ab67616d00001e02cc081da0eb7274e292d93cf8,0.68,0.64,0.675,129.953,-5.542,0.0497,0.0106,0.0,0.059,False,True,2014,3.475033333333333
Ab-Soul,Kendrick Lamar's Interlude (feat. Kendrick Lamar),These Days...,2014-06-24,True,0,6i45eLXuFCXNAXzTpnzwCr,299577,https://i.scdn.co/image/ab67616d00001e02c02154636b128b52c8654fdf,0.435,0.785,0.358,121.73,-6.892,0.194,0.152,0.0,0.438,False,True,2014,4.99295
Mike WiLL Made-It,Buy The World (feat. Kendrick Lamar),Buy The World,2014-06-17,True,45,01A7PEPSnmtixFPfB2UTal,226693,https://i.scdn.co/image/ab67616d00001e0243ac148faa1b021a29e0834c,0.793,0.631,0.231,119.971,-6.109,0.0998,0.0406,0.000478,0.207,False,True,2014,3.778216666666667
SZA,Babylon (feat. Kendrick Lamar),Z,2014-04-08,True,54,6Aj2H0Z0v0JgnSfPEwCgW0,234284,https://i.scdn.co/image/ab67616d00001e0232f1a3721efb2ddfb91b9c82,0.51,0.71,0.367,131.891,-6.891,0.113,0.629,0.0,0.0607,False,True,2014,3.904733333333333
Alicia Keys,It's On Again (feat. Kendrick Lamar) - From The Amazing Spider-Man 2 Soundtrack,It's On Again (feat. Kendrick Lamar) [From The Amazing Spider-Man 2 Soundtrack],2014-04-25,False,56,44EkzAU92xwm30YpD4p31i,229827,https://i.scdn.co/image/ab67616d00001e02097e331884eed1edc8925c6d,0.647,0.687,0.494,110.14,-5.274,0.121,0.06,0.0,0.495,False,True,2014,3.83045
Tame Impala,Backwards (feat. Kendrick Lamar),Divergent: Original Motion Picture Soundtrack,2014-01-01,False,35,58AyPFJSaRDpr6cj2LYFFG,234773,https://i.scdn.co/image/ab67616d00001e0213c813c97d3bdf1ecb360853,0.531,0.95,0.654,150.071,-4.087,0.177,0.059,6.25e-06,0.108,False,True,2014,3.9128833333333333
